product_id,name,category,description
1,"Wireless Bluetooth Headphones","Electronics","High-quality wireless headphones with active noise cancellation, 30-hour battery life, and premium sound quality"
2,"Organic Cotton T-Shirt","Clothing","Comfortable 100% organic cotton t-shirt available in multiple colors, perfect for everyday wear"
3,"Smartphone Case","Electronics","Durable protective case with shock absorption and wireless charging compatibility"
4,"Running Shoes","Sports","Lightweight athletic shoes with advanced cushioning technology and breathable mesh upper"
5,"Coffee Maker","Home & Kitchen","Programmable drip coffee maker with thermal carafe, perfect for morning routines"
6,"Yoga Mat","Sports","Non-slip premium yoga mat with carrying strap, ideal for home and studio practice"
7,"Laptop Stand","Electronics","Adjustable aluminum laptop stand for ergonomic work setup and better posture"
8,"Denim Jeans","Clothing","Classic fit denim jeans in multiple washes, made from sustainable cotton"
9,"Bluetooth Speaker","Electronics","Portable wireless speaker with 360-degree sound and 12-hour battery life"
10,"Kitchen Knife Set","Home & Kitchen","Professional-grade stainless steel knife set with wooden storage block"
11,"Fitness Tracker","Electronics","Smart fitness watch with heart rate monitoring, GPS, and water resistance"
12,"Winter Jacket","Clothing","Insulated winter jacket with waterproof exterior and fleece lining"
13,"Tennis Racket","Sports","Professional tennis racket with carbon fiber frame and synthetic gut strings"
14,"Air Fryer","Home & Kitchen","Digital air fryer with multiple cooking functions and easy-clean basket"
15,"Gaming Mouse","Electronics","High-precision gaming mouse with customizable RGB lighting and programmable buttons"
16,"Summer Dress","Clothing","Lightweight summer dress in floral pattern, perfect for warm weather"
17,"Basketball","Sports","Official size basketball with composite leather cover for indoor and outdoor play"
18,"Stand Mixer","Home & Kitchen","Professional stand mixer with multiple attachments for baking and cooking"
19,"Mechanical Keyboard","Electronics","RGB mechanical keyboard with tactile switches and customizable keycaps"
20,"Hiking Boots","Sports","Waterproof hiking boots with ankle support and durable rubber sole"
21,"Blender","Home & Kitchen","High-speed blender with multiple blades for smoothies, soups, and food prep"
22,"Smart Watch","Electronics","Fitness smartwatch with health monitoring, notifications, and app integration"
23,"Leather Wallet","Clothing","Genuine leather wallet with RFID blocking and multiple card slots"
24,"Soccer Ball","Sports","Professional soccer ball with synthetic leather cover and bladder construction"
25,"Microwave Oven","Home & Kitchen","Compact microwave with multiple power levels and preset cooking programs"
